name,city,state,address,pincode,contact,store_type,weekdays_timing,map_location
"MORE MEGASTORE, HOSUR ROAD",BENGALURU,KARNATAKA,"No 13/5 Hosur Road To VM, Beside Keys Hotel, Lb V Bb, Singasandra, Bengaluru, Karnataka 560068",560068,9071764757,Hypermart,9:00 am to 9:00 pm,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3889.4283161172066!2d77.64412141482102!3d12.880157190915966!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x9cae75706ab3ef15!2sMore%20Megastore!5e0!3m2!1sen!2sin!4v1596551890761!5m2!1sen!2sin
"MORE MEGASTORE, INDORE",INDORE,MADHYA PRADESH,"Century 21 Mall, Plot No 94 To 104, Plot No 300 To 303, PU-4 A.B. Road Scheme No.54, Vijay Nagar, Indore, Madhya Pradesh 452010",452010,9285007918,Hypermart,9:30 am to 10:00 pm,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3679.5803861790023!2d75.89159931496268!3d22.74383278509494!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0xe33b518029868ad9!2sMore%20Megastore!5e0!3m2!1sen!2sin!4v1596550798692!5m2!1sen!2sin
"MORE MEGASTORE, JP NAGAR",BENGALURU,KARNATAKA,"# 17/A,15th Cross, Outer Ring Rd, 3rd Phase, J. P. Nagar, Bengaluru, Karnataka 560078",560078,,Hypermart,9:00 am to 9:00 pm,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3889.0132237338444!2d77.59579761482134!3d12.906871090898354!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0xa6a4da0a8ea3e8c0!2sMore%20Megastore!5e0!3m2!1sen!2sin!4v1596551976082!5m2!1sen!2sin
"MORE MEGASTORE, KEMFORT",BENGALURU,KARNATAKA,"A5, 1st Main Rd, Ramagiri, Murgesh Pallya, Bengaluru, Karnataka 560017",560017,,Hypermart,9:00 am to 9:00 pm,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3888.201980520125!2d77.65477591482187!3d12.958923590864162!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x18e93232a29ae6a4!2sMore%20Mega%20Store!5e0!3m2!1sen!2sin!4v1596551796871!5m2!1sen!2sin
"MORE MEGASTORE, KUKATPALLY",HYDERABAD,TELANGANA,"Nizampet X Road, Jai Bharat Nagar, Nagarjuna Homes, Kukatpally, Hyderabad, Telangana 500085",500085,,Hypermart,9:30 am to 4:00 pm,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3805.1800817564003!2d78.38838861487793!3d17.49891498801187!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x259f34e553d2c515!2sMore%20Megastore!5e0!3m2!1sen!2sin!4v1596550999483!5m2!1sen!2sin
"MORE MEGASTORE, MADIWALA",BENGALURU,KARNATAKA,"Market Square Mall, Opp Madiwala Police Station,Hosur Main Road, Madiwala; Pincode- 560068",560068,,Hypermart,9:00 am to 9:00 pm,https://www.google.com/maps/embed?pb=!1m14!1m8!1m3!1d3888.7834341696503!2d77.6190265!3d12.9216362!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x9862868dbf151bb0!2sMore%20Megastore!5e0!3m2!1sen!2sin!4v1596551693863!5m2!1sen!2sin
"MORE MEGASTORE, MAHADEVPURA",BENGALURU,KARNATAKA,"Outer Ring Road, Near Shiva Ganga Layout, Mahadevapura, Bengaluru, Karnataka 560016",560016,9071733330,Hypermart,8:00 am to 8:00 pm,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3887.723287616483!2d77.68692621482214!3d12.989542190844142!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x3bae117216c4b471%3A0xd91e26b0d86da76c!2sMore%20Megastore!5e0!3m2!1sen!2sin!4v1596552072150!5m2!1sen!2sin
"MORE MEGASTORE, MYSURU",MYSURU,KARNATAKA,"Lalitadri Rasthe Rd, Block K, Kuvempu Nagara, Mysuru, Karnataka 570023",570023,,Hypermart,10:00 am to 10:00 pm,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3898.4326509820103!2d76.62436441481496!3d12.28662409130786!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x8dd48d07a209d9d1!2sMore%20Mega%20store!5e0!3m2!1sen!2sin!4v1596551291163!5m2!1sen!2sin
"MORE MEGASTORE, OMR",BENGALURU,KARNATAKA,"Old Madras Road (Old Chetan Talkies), No: 86, Gopalan Grand Mall Nagvarpalya, Annasandrapalya Main Rd, C V Raman Nagar, Bengaluru, Karnataka 560075",560075,,Hypermart,9:00 am to 10:00 pm,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3887.6642015664984!2d77.66198061482223!3d12.993316590841664!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0xa3aeb7be7054c0d0!2sMore%20Megastore!5e0!3m2!1sen!2sin!4v1596552175108!5m2!1sen!2sin
"MORE MEGASTORE, SAHAKAR NAGAR",BENGALURU,KARNATAKA,"#323, Kodigehalli Main Road Next To Old Coca Cola Factory Compound, Sahakar Nagar, Bengaluru, 560092",560092,,Hypermart,9:00 am to 9:00 pm,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3886.4643991873377!2d77.57659321482298!3d13.069727890791492!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x0%3A0x302b973318bbe271!2sMore%20Megastore!5e0!3m2!1sen!2sin!4v1596551608135!5m2!1sen!2sin
